Timestamp,id,Age in years,Sex,1. Biology is very interesting to me.,"2. I don't like biology, and it scares me to have to take it.",3. I am always under a terrible strain in a biology class.,4. Biology is fascinating and fun,"5. Biology makes me feel secure, and at the same time, it is stimulating.","6. Biology makes me feel uncomfortable, restless, irritable, and impatient.","7. In general, I have a good feeling toward biology.","8. When I hear the word biology, I have a feeling of dislike.",9. I approach biology with a feeling of hesitation.,10. I really like biology.,11. I have always enjoyed studying biology in school.,12. It makes me nervous to even think about doing a biology experiment.,13. I feel at ease in biology and like it very much.,14. I feel a definite positive reaction to biology; it's enjoyable.,Biology is,Biology is,Biology is,Biology is ,Biology is,Biology is ,Biology is ,Biology is
2021/12/13 8:28:49 AM GMT+2,14,16,Female,5,1,1,5,4,1,5,1,1,5,5,1,5,5,1,1,5,5,1,5,1,1
2021/12/13 8:30:32 AM GMT+2,13,21,Male,4,2,3,3,4,1,2,5,1,5,4,5,3,4,1,2,4,4,1,5,1,3
2021/12/13 8:33:34 AM GMT+2,12,17,Female,5,5,1,4,4,4,5,1,2,5,4,5,3,5,1,1,5,5,1,4,2,2
2021/12/13 8:35:57 AM GMT+2,11,19,Male,5,1,1,5,5,2,4,1,4,5,4,4,5,4,1,2,5,5,1,5,1,2
2021/12/13 8:40:36 AM GMT+2,9,18,Female,3,3,4,3,4,3,3,4,2,3,3,2,3,3,1,2,5,5,1,5,1,1
2021/12/13 8:43:25 AM GMT+2,8,16,Female,5,2,4,4,5,1,5,1,5,5,5,5,4,5,1,2,3,5,1,5,2,3
2021/12/13 8:45:22 AM GMT+2,7,17,Female,5,1,1,5,3,1,5,2,2,5,5,5,5,5,1,1,5,5,1,5,1,5
2021/12/13 8:47:17 AM GMT+2,6,18,Female,5,1,2,4,2,2,5,2,3,5,5,4,4,4,1,1,5,3,3,5,1,1
2021/12/13 8:48:46 AM GMT+2,5,16,Male,5,2,2,5,3,2,5,2,2,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 8:51:14 AM GMT+2,4,17,Female,5,2,3,5,5,2,5,2,2,5,5,2,5,5,1,1,5,4,3,5,1,1
2021/12/13 8:53:00 AM GMT+2,3,17,Female,5,1,2,2,3,3,5,2,2,5,5,3,4,4,1,1,5,5,2,5,1,1
2021/12/13 8:54:46 AM GMT+2,2,17,Female,5,1,1,4,4,1,5,1,2,4,4,1,4,4,1,1,5,5,1,5,1,1
2021/12/13 8:58:48 AM GMT+2,15,17,Female,5,1,2,5,5,5,5,1,2,5,5,4,5,5,1,1,5,5,1,5,1,5
2021/12/13 9:00:57 AM GMT+2,16,16,Female,5,1,2,5,4,1,5,1,2,5,4,4,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:03:14 AM GMT+2,17,17,Female,5,1,2,5,4,4,4,4,2,5,5,4,5,5,2,2,4,4,1,5,2,2
2021/12/13 9:04:37 AM GMT+2,18,17,Female,5,1,1,5,5,1,5,1,1,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:38:58 AM GMT+2,19,19,Female,5,1,1,5,5,1,5,1,5,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:43:01 AM GMT+2,20,17,Female,5,1,1,3,5,1,1,4,1,4,4,3,4,4,1,1,5,2,2,5,1,3
2021/12/13 9:45:20 AM GMT+2,21,16,Female,5,2,1,4,4,1,5,2,2,5,3,5,4,5,1,1,5,5,1,5,1,1
2021/12/13 9:46:37 AM GMT+2,22,19,Male,5,1,1,4,4,1,5,1,2,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:48:07 AM GMT+2,23,17,Male,5,2,1,5,4,5,5,2,2,5,5,4,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:51:44 AM GMT+2,26,17,Male,5,1,1,5,3,1,5,1,2,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:54:10 AM GMT+2,27,16,Male,5,1,1,5,5,1,5,1,1,5,5,1,5,5,1,1,5,5,1,5,1,1
2021/12/13 9:59:35 AM GMT+2,29,18,Male,5,1,1,5,4,2,5,1,1,5,4,2,5,5,1,1,5,5,1,5,1,1
2021/12/13 10:11:34 AM GMT+2,30,18,Male,3,3,2,2,3,2,1,2,2,4,3,5,4,2,1,1,5,5,2,5,1,1
2021/12/13 10:26:53 AM GMT+2,31,17,Female,5,1,1,4,5,1,5,2,1,5,5,1,5,5,1,1,5,5,2,5,2,1
2021/12/13 10:29:04 AM GMT+2,32,17,Female,4,4,3,3,4,5,2,3,2,3,3,2,3,3,1,1,5,5,3,5,4,3
2021/12/13 11:09:06 AM GMT+2,33,18,Male,5,1,1,5,4,1,4,2,1,5,5,5,4,5,1,2,1,4,1,5,1,4
2021/12/13 12:13:02 PM GMT+2,34,17,Female,5,1,2,4,5,1,5,1,2,1,5,1,4,4,1,1,5,5,1,5,1,1
2021/12/13 12:27:22 PM GMT+2,36,16,Female,4,2,2,2,4,2,4,2,2,4,2,4,2,2,1,5,5,4,2,4,2,3
2021/12/13 12:29:39 PM GMT+2,37,17,Female,5,1,1,5,5,1,5,1,1,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/12/13 12:32:25 PM GMT+2,38,18,Male,2,1,1,5,5,1,5,2,1,5,5,5,5,4,1,2,5,5,1,5,1,1
2021/12/13 12:38:42 PM GMT+2,39,18,Male,5,1,2,4,5,5,4,2,2,5,5,5,5,4,1,1,4,4,1,5,1,1
2021/12/13 12:40:48 PM GMT+2,40,16,Male,5,1,1,4,4,1,5,1,1,5,5,2,5,5,1,1,5,5,1,5,1,2
2021/12/13 12:45:32 PM GMT+2,41,18,Female,5,1,1,5,5,1,5,2,2,5,5,5,5,5,1,1,5,5,2,4,1,1
2021/12/13 12:48:24 PM GMT+2,42,19,Male,5,1,1,5,5,2,5,2,1,5,5,5,5,5,1,1,5,5,1,5,1,3
2021/12/13 12:51:48 PM GMT+2,43,18,Female,5,1,4,5,5,1,4,1,2,5,5,4,2,2,1,2,5,5,2,4,2,1
2021/12/13 12:54:51 PM GMT+2,44,17,Female,2,1,1,5,5,1,5,1,1,5,5,5,5,5,1,1,5,5,2,5,1,2
2021/12/13 12:56:50 PM GMT+2,45,17,Female,5,1,1,5,5,1,5,1,2,5,5,2,5,5,1,1,5,5,1,5,1,3
2021/12/13 12:58:48 PM GMT+2,46,18,Male,5,1,2,4,5,1,5,1,1,5,4,5,5,5,1,1,5,5,1,4,1,1
2021/12/13 1:01:31 PM GMT+2,47,17,Female,5,1,3,5,2,2,5,2,4,5,5,4,5,5,1,2,3,2,1,2,1,2
2021/12/13 1:04:42 PM GMT+2,49,17,Female,4,1,3,5,3,2,5,1,3,5,5,4,5,3,1,1,5,5,2,5,1,1
